Running vlog95 compiler/VVP tests for Icarus Verilog version: 0.10.
----------------------------------------------------------------------------
                      case1: Passed.
                      case2: Passed.
                      case4: Passed.
                      case5: Passed.
             case5-syn-fail: Passed.
                      case6: Passed.
                      case7: Passed.
                    condit1: Passed.
                 basiclatch: Passed.
                 basicstate: Passed.
                basicstate2: Passed.
                   multireg: Passed.
                blocksynth1: Passed.
                blocksynth2: Passed.
                blocksynth3: Passed.
               conditsynth1: Passed.
               conditsynth2: Passed.
               conditsynth3: Passed.
                 casesynth1: Passed.
                 casesynth2: Passed.
                 casesynth3: Passed.
                  lcatsynth: Passed.
                   dffsynth: Passed.
                  dffsynth2: Passed.
                  dffsynth3: Passed.
                  dffsynth4: Passed.
                sqrt32synth: Passed.
                  memsynth1: Passed.
                  memsynth2: Passed.
                  memsynth3: Passed.
                  memsynth4: Passed.
                  memsynth5: Passed.
                  memsynth6: Passed.
                  memsynth7: Passed.
                  memsynth9: Passed.
                   ssetclr1: Passed.
                   ssetclr2: Passed.
                   ssetclr3: Passed.
               inside_synth: Passed.
              inside_synth2: Passed.
              inside_synth3: Passed.
                  mix_reset: Passed.
                casex_synth: Passed.
                  full_case: Passed.
          automatic_error11: Not Implemented.
          automatic_error12: Not Implemented.
          automatic_error13: Not Implemented.
           automatic_events: Not Implemented.
          automatic_events2: Not Implemented.
          automatic_events3: Not Implemented.
      automatic_events3_std: Not Implemented.
                 pr3054101c: Passed - CE.
                 pr3054101e: Passed - CE.
                 pr3054101f: Passed - CE.
                   bitsel10: Passed - CE.
              countdrivers3: Passed - CE.
                      inout: Not Implemented.
                     inout2: Passed - CE.
                     inout3: Passed - CE.
                     inout4: Passed - CE.
                  pr1444055: Passed - CE.
                  pr1478121: Passed - CE.
                  pr2219441: Passed - CE.
                  pr3194155: Not Implemented.
                 pr3296466a: Passed - CE.
                 pr3296466b: Passed - CE.
                 pr3296466d: Passed - CE.
                  pr3452808: Not Implemented.
                       tri2: Passed - CE.
                  ibit_test: Passed - expected fail.
                 ibyte_test: Passed - expected fail.
                  iint_test: Passed - expected fail.
              ilongint_test: Passed - expected fail.
             ishortint_test: Passed - expected fail.
               array_string: Not Implemented.
                 sv_string1: Not Implemented.
                 sv_string2: Not Implemented.
                 sv_string3: Not Implemented.
                 sv_string4: Not Implemented.
                 sv_string5: Not Implemented.
              fork_join_any: Not Implemented.
             fork_join_none: Not Implemented.
                 pr3366217e: Not Implemented.
                 pr3366217f: Not Implemented.
                 pr3366217h: Not Implemented.
                 pr3366217i: Not Implemented.
                  pr3390385: Passed - CE.
                 pr3390385b: Passed - CE.
                 pr3390385c: Passed - CE.
                 pr3390385d: Passed - CE.
                  pr3462145: Passed - CE.
                 sv_darray1: Not Implemented.
                 sv_darray2: Not Implemented.
                 sv_darray3: Not Implemented.
                 sv_darray4: Not Implemented.
                 sv_darray5: Not Implemented.
                sv_darray5b: Not Implemented.
                 sv_darray6: Not Implemented.
                  sv_class1: Not Implemented.
  struct_packed_write_read2: Not Implemented.
                 vhdl_test5: Not Implemented.
                 vhdl_test6: Not Implemented.
                 vhdl_test7: Not Implemented.
                 vhdl_test8: Not Implemented.
                 vhdl_test9: Not Implemented.
                      final: Not Implemented.
              program_hello: Not Implemented.
             program_hello2: Not Implemented.
                   program2: Not Implemented.
                  program2b: Not Implemented.
                   program3: Not Implemented.
                   program4: Not Implemented.
                  program5b: Not Implemented.
                  pr1587669: Passed - expected fail.
                  pr1877743: Passed - expected fail.
                 pr2590274c: Passed - expected fail.
                 pr2829776b: Passed - expected fail.
                  pr2972866: Passed - expected fail.
                 real_delay: Passed - expected fail.
                   specify2: Passed - expected fail.
                   specify3: Passed - expected fail.
                   specify4: Passed - expected fail.
                   specify5: Passed - expected fail.
                 specify_01: Passed - expected fail.
                       sdf1: Passed - expected fail.
                       sdf2: Passed - expected fail.
                       sdf3: Passed - expected fail.
                       sdf4: Passed - expected fail.
                       sdf5: Passed - expected fail.
                       sdf6: Passed - expected fail.
                       sdf7: Passed - expected fail.
                       sdf8: Passed - expected fail.
                sdf_del_min: Passed - expected fail.
                sdf_del_typ: Passed - expected fail.
                sdf_del_max: Passed - expected fail.
                 sdf_esc_id: Passed - expected fail.
                  basicexpr: Not Implemented.
                     shiftl: Not Implemented.
                ufuncsynth1: Not Implemented.
                      pr685: Not Implemented.
              always3.1.10A: Passed - CE.
              always3.1.11A: Passed.
              always3.1.11B: Passed.
              always3.1.12A: Passed.
              always3.1.12B: Passed.
              always3.1.12C: Passed.
               always3.1.1A: Passed - CE.
               always3.1.1B: Passed - CE.
               always3.1.1C: Passed.
               always3.1.1D: Passed.
               always3.1.1E: Passed.
               always3.1.1F: Passed.
               always3.1.1G: Passed.
               always3.1.1H: Passed.
               always3.1.1I: Passed.
               always3.1.1J: Passed.
               always3.1.1K: Passed.
               always3.1.2A: Passed - CE.
               always3.1.2B: Passed - CE.
               always3.1.2C: Passed - CE.
               always3.1.2D: Passed - CE.
               always3.1.2E: Passed - CE.
               always3.1.2F: Passed - CE.
               always3.1.2G: Passed - CE.
               always3.1.2H: Passed - CE.
               always3.1.2I: Passed - CE.
               always3.1.3A: Passed - CE.
               always3.1.3B: Passed - CE.
              always3.1.3B2: Passed.
               always3.1.3C: Passed - CE.
               always3.1.3D: Passed - CE.
              always3.1.3D2: Passed.
               always3.1.3E: Passed - CE.
              always3.1.3E2: Passed.
               always3.1.3F: Passed - CE.
              always3.1.3F2: Passed.
               always3.1.3G: Passed - CE.
               always3.1.3H: Passed - CE.
               always3.1.3J: Passed - CE.
               always3.1.4A: Passed.
               always3.1.4B: Passed.
               always3.1.4C: Passed.
               always3.1.4D: Passed.
               always3.1.4E: Passed.
               always3.1.4F: Passed.
               always3.1.4G: Passed.
               always3.1.4H: Passed.
               always3.1.4I: Passed.
               always3.1.5A: Passed.
               always3.1.5B: Passed.
               always3.1.5C: Passed.
               always3.1.5D: Passed.
               always3.1.5E: Passed.
               always3.1.5F: Passed.
               always3.1.6A: Passed.
               always3.1.6B: Passed.
               always3.1.6C: Passed.
               always3.1.7A: Passed.
               always3.1.7B: Passed.
               always3.1.7C: Passed.
               always3.1.7D: Passed.
               always3.1.8A: Passed.
               always3.1.9A: Passed - CE.
               always3.1.9B: Passed - CE.
               always3.1.9C: Passed.
               always3.1.9D: Passed.
                 assign3.2A: Passed.
                 assign3.2B: Passed.
                 assign3.2C: Passed.
                 assign3.2D: Passed.
                 assign3.2E: Passed.
                   case3.8A: Passed.
                   case3.8B: Passed.
                   case3.8C: Passed.
                  casex3.9A: Passed.
                  casex3.9B: Passed.
                  casex3.9C: Passed.
                  casex3.9D: Passed.
                  casex3.9E: Passed.
                 casez3.10A: Passed.
                 casez3.10B: Passed.
                 casez3.10C: Passed.
                 casez3.10D: Passed.
                 casez3.10E: Passed.
                 contrib8.1: Passed.
                 contrib8.2: Passed.
                 contrib8.5: Passed.
               deassign3.4A: Passed.
                defparam3.5: Passed.
                   defparam: Passed.
                  defparam2: Passed.
                disable3.6A: Passed.
                disable3.6B: Passed.
               disable_fork: Passed.
              function3.11B: Passed.
              function3.11C: Passed.
              function3.11D: Passed.
              function3.11F: Passed.
                module3.12A: Passed.
                module3.12B: Passed.
                   ptest001: Passed.
                   ptest002: Passed.
                   ptest003: Passed.
                   ptest004: Passed.
                   ptest005: Passed.
                   ptest006: Passed.
                   ptest007: Passed.
                   ptest008: Passed.
                   ptest009: Passed.
                   ptest010: Passed.
                   ptest011: Passed.
                      qmark: Passed.
                     qmark1: Passed.
                     qmark3: Passed.
                     qmark5: Passed.
                sdw_always1: Passed.
                sdw_always2: Passed.
                sdw_always3: Passed.
                  sdw_array: Passed.
                 sdw_assign: Passed.
                   sdw_dsbl: Passed.
                  sdw_force: Passed.
                     force1: Passed.
                     force2: Passed.
              sdw_function1: Passed.
              sdw_function2: Passed.
              sdw_function3: Passed.
               sdw_instmod1: Passed.
               sdw_instmod2: Passed.
